School Name,State Name [Public School] Latest available year,Full-Time Equivalent (FTE) Teachers [Public School] 2012-13,Full-Time Equivalent (FTE) Teachers [Public School] 2011-12,Full-Time Equivalent (FTE) Teachers [Public School] 2010-11,Pupil/Teacher Ratio [Public School] 2012-13,Pupil/Teacher Ratio [Public School] 2011-12,Pupil/Teacher Ratio [Public School] 2010-11,School ID - NCES Assigned [Public School] Latest available year
PIXLEY MIDDLE,California,13,14,–,26.69,23.21,–,063063012170
PLACER COUNTY COMMUNITY SCHOOLS,California,5,13.5,–,14.4,16.74,–,069102510573
PLACER COUNTY COURT SCHOOLS,California,2,1.5,–,7,13.33,–,069102509237
PLACER COUNTY PATHWAYS CHARTER,California,15.14,†,†,16.12,†,†,069102513072
PLACER COUNTY SPECIAL EDUCATION,California,32,30,–,5.84,6.63,–,069102509030
PLACER ELEMENTARY,California,20.4,20.5,–,20.93,21.17,–,062256002773
PLACER HIGH,California,58.45,58.43,–,24,23.4,–,063075004784
PLACERITA JUNIOR HIGH,California,41.45,43.05,–,25.6,24.41,–,064251006960
PLAINFIELD ELEMENTARY,California,12.84,13.9,–,24.38,24.82,–,064308007006
PLAINSBURG UNION ELEMENTARY,California,7,5.6,–,19,24.11,–,063081004788
PLAINVIEW ACADEMIC CHARTER ACADEMY,California,15,15,–,21.07,21.53,–,062271003281
PLANADA ELEMENTARY,California,26,27,–,20.46,19,–,063084004789
PLANTATION ELEMENTARY,California,25,24,–,27.04,29.13,–,061605002007
PLANZ ELEMENTARY,California,25,25.5,–,30.36,28.31,–,061605002008
PLATINA ELEMENTARY,California,1,1,–,11,7,–,061816002239
PLAVAN (URBAIN H.) ELEMENTARY,California,20,19,–,24.6,24.05,–,061422001633
PLAYA DEL REY ELEMENTARY,California,10,10,–,22.8,22.1,–,062271003283
PLAYA VISTA ELEMENTARY,California,12,†,†,21.33,†,†,062271013195
PLAZA ELEMENTARY,California,6,6,–,22.33,23.5,–,063087004790
PLAZA ROBLES CONTINUATION HIGH,California,9.75,9,–,15.59,20.22,–,062223002776
PLAZA VISTA,California,31.29,31.13,–,30.71,30.49,–,068450008252
PLEASANT ELEMENTARY,California,33,33,–,22.39,22.39,–,063987009201
PLEASANT GROVE,California,8,8,–,21.88,21,–,063090004791
PLEASANT GROVE ELEMENTARY,California,16,17,–,27.31,24.94,–,061233001409
PLEASANT GROVE HIGH,California,105.26,108.54,–,24.06,22.94,–,061233011067
PLEASANT GROVE MIDDLE,California,28,28.86,–,21.82,21.76,–,063231011168
PLEASANT HILL EDUCATION CENTER,California,†,–,–,–,–,–,062637012590
PLEASANT HILL ELEMENTARY,California,27,26.79,–,25.37,24.71,–,062637003967
PLEASANT HILL MIDDLE,California,36.53,35.18,–,25.08,23.71,–,062637007076
PLEASANT RIDGE CHARTER,California,–,–,–,–,–,–,063093004793
PLEASANT RIDGE COMMUNITY DAY,California,–,–,–,–,–,–,063093011273
PLEASANT RIDGE SPECIAL EDUCATION PRESCHOOL,California,–,†,†,–,†,†,063093013599
PLEASANT VALLEY 3R COMMUNITY DAY,California,†,†,–,†,†,–,063096011250
PLEASANT VALLEY ELEMENTARY,California,9.68,9.83,–,29.34,28.89,–,063096004794
PLEASANT VALLEY ELEMENTARY,California,23.1,23.6,–,20.78,18.94,–,062772004193
PLEASANT VALLEY ELEMENTARY,California,6,5,–,21,23,–,063102004808
PLEASANT VALLEY HIGH,California,80.3,81.1,–,24.02,24.03,–,060837000827
PLEASANT VALLEY MIDDLE,California,6.4,7,–,21.25,15.86,–,061539010199
PLEASANT VALLEY SPECIAL EDUCATION PRESCHOOL,California,–,†,†,–,†,†,063096013239
PLEASANT VIEW,California,–,†,†,–,†,†,062814013419
PLEASANT VIEW ELEMENTARY,California,21,23,–,26.95,25.74,–,063105004809
PLEASANT VIEW ELEMENTARY,California,20,22,–,23.6,22.86,–,060369000337
PLEASANT VIEW PRIMARY COMMUNITY DAY SCHOOL,California,–,–,–,–,–,–,063105012544
PLEASANTON MIDDLE,California,52.31,51.31,–,22.84,23.85,–,060002009682
PLUM CANYON ELEMENTARY,California,25,30,–,29.52,25.27,–,063597007532
PLUM VALLEY ELEMENTARY,California,1,1,–,17,10,–,063114004817
PLUMAS AVENUE ELEMENTARY,California,9.28,10.18,–,26.08,22.3,–,063918010743
PLUMAS CHARTER,California,9.95,10.41,–,19.3,17.87,–,063117007601
PLUMAS COUNTY COMMUNITY,California,1,–,–,5,–,–,069110210576
PLUMAS COUNTY OPPORTUNITY,California,4,–,–,2.25,–,–,069110211706
PLUMAS COUNTY ROP,California,–,–,–,–,–,–,060008311011
PLUMMER ELEMENTARY,California,40,36,–,24.5,24.67,–,062271003284
PLYMOUTH ELEMENTARY,California,17.81,17.55,–,23.13,23.99,–,062532003781
PLYMOUTH ELEMENTARY,California,9.9,9.9,–,23.84,22.22,–,060245008792
PODESTA RANCH ELEMENTARY,California,18.32,14.37,–,22.49,21.36,–,062223012344
POINSETTIA ELEMENTARY,California,18,18,–,28,30.06,–,060750011987
POINSETTIA ELEMENTARY,California,20.8,22.51,–,24.18,22.75,–,064098006762
POINT ARENA HIGH,California,11.97,12.89,–,13.2,13.27,–,063123004831
POINT DUME ELEMENTARY,California,12,12,–,20.42,21.42,–,063570007138
POINT FERMIN ELEMENTARY,California,14,12.17,–,22.71,25.47,–,062271003285
POINT LOMA HIGH,California,84.93,86.6,–,23.05,22.96,–,063432005537
POINT VICENTE ELEMENTARY,California,19,18,–,20.79,21.61,–,062970004618
POLARIS HIGH (ALTERNATIVE),California,5,10.44,–,32.2,16.28,–,060263008115
POLE CORRAL ELEMENTARY,California,1,1,–,5,2,–,063680500409
POLYTECHNIC HIGH,California,170.99,174.68,–,27.1,27.16,–,062250002751
POLYTECHNIC HIGH,California,100.21,100.5,–,28.7,28.37,–,063315005156
POMELO COMMUNITY CHARTER,California,25,26,–,24.76,24.96,–,062271003286
POMERADO ELEMENTARY,California,17.5,18.5,–,27.94,27.14,–,063153004892
POMEROY ELEMENTARY,California,18,20.5,–,29.33,27.56,–,063543006048
POMO,California,28,27.7,–,23.36,23.86,–,062007010228
POMOLITA MIDDLE,California,35.1,32.9,–,21.45,21,–,064030006660
POMONA ALTERNATIVE,California,5,2,–,4.4,15,–,063132010247
POMONA COMMUNITY DAY,California,0.50,–,–,22,–,–,063132010909
POMONA ELEMENTARY,California,21.98,22,–,23.16,23.95,–,062724004128
POMONA HIGH,California,63.25,64.83,–,23.78,24.26,–,063132004858
POND ELEMENTARY,California,12,12,–,19.92,19.42,–,063135004865
PONDEROSA COMMUNITY DAY,California,–,1,–,–,1,–,063680507972
PONDEROSA ELEMENTARY,California,21.4,21,–,23.83,22.86,–,062982004641
PONDEROSA ELEMENTARY,California,21,22.5,–,26.19,24.8,–,063543006049
PONDEROSA ELEMENTARY,California,20,19.5,–,22.05,22.62,–,063753006349
PONDEROSA ELEMENTARY,California,42.99,42.74,–,26.63,27.26,–,060261012518
PONDEROSA HIGH,California,70.49,74.75,–,26.94,25.28,–,061207001344
PONY EXPRESS ELEMENTARY,California,15,18,–,30,25.5,–,063384005277
POPE VALLEY ELEMENTARY,California,4.6,4.1,–,11.52,16.83,–,063138004866
POPLAR AVENUE ELEMENTARY,California,7.5,8.61,–,25.2,21.49,–,063918006545
POPLAR ELEMENTARY,California,26.68,27.51,–,26.16,26.32,–,061392001598
PORT OF LOS ANGELES HIGH,California,44.9,43.7,–,21.47,21.35,–,062271010864
PORTER ELEMENTARY,California,57.6,59.1,–,19.25,17.58,–,063432011382
PORTER RANCH COMMUNITY,California,29,†,†,24.76,†,†,062271013175
PORTERVILLE HIGH,California,70.49,67.04,–,26.7,27.18,–,060006404880
PORTOLA ELEMENTARY,California,9.5,9.7,–,32,30.82,–,063423008626
PORTOLA ELEMENTARY,California,23.99,24.3,–,25.68,25.35,–,064098006763
PORTOLA HILLS ELEMENTARY,California,28.7,28.8,–,26.83,27.81,–,063386000770
PORTOLA JUNIOR HIGH,California,21.25,20,–,24.71,23.3,–,063255005053
PORTOLA JUNIOR/SENIOR HIGH,California,14.33,–,–,17.52,–,–,063117004825
PORTOLA MIDDLE,California,40.06,41,–,18.4,19.37,–,062865004446
PORTOLA OPPORTUNITY,California,3.75,–,–,4.8,–,–,069110208554
PORTOLA-BUTLER CONTINUATION HIGH,California,4,4,–,27.25,31,–,061965007734
POST ELEMENTARY,California,24,25,–,24.92,23.16,–,061488001873
POTRERO ELEMENTARY,California,39,40.5,–,24.69,24.59,–,061209001356
POTRERO ELEMENTARY,California,10,12,–,26.1,21.5,–,062610003909
POTRERO HEIGHTS ELEMENTARY,California,14,16,–,35.57,31.94,–,062547003806
POTTER VALLEY  COMMUNITY DAY,California,–,–,–,–,–,–,063140010554
POTTER VALLEY ELEMENTARY,California,7.7,6.8,–,19.09,19.12,–,063140004867
POTTER VALLEY HIGH,California,7.47,7.45,–,12.45,11.28,–,063140004868
POTTER VALLEY JUNIOR HIGH,California,3.29,3.29,–,12.46,13.37,–,063140010958
POWAY HIGH,California,81.9,85.65,–,29.04,28.48,–,063153004893
POWELL ACADEMY FOR SUCCESS,California,47,46.01,–,28.26,27.97,–,062250008025
POWERS-GINSBURG ELEMENTARY,California,18,19,–,27.44,25.37,–,061455001758
PRADO VIEW ELEMENTARY,California,34.5,37.5,–,23.68,22.51,–,060985009355
PRAIRIE ELEMENTARY,California,42,43.9,–,24.6,24.56,–,061233001411
PRAIRIE ELEMENTARY,California,10,8.96,–,24.4,25.33,–,062928004523
PRAIRIE VISTA MIDDLE,California,41.09,42,–,23.78,23.38,–,061668007520
PREPA TEC - LOS ANGELES,California,–,†,†,–,†,†,062271013348
PREPARATORY LITERARY ACADEMY OF CULTURAL EXCELLENC,California,8,8,–,24.75,21.5,–,062805004309
PRESCHOOL,California,–,†,†,–,†,†,062586013375
PRESCHOOL,California,–,†,†,–,†,†,060002713213
PRESCHOOL GRASP,California,–,†,†,–,†,†,069102613302
PRESCOTT JUNIOR HIGH,California,30.21,30.05,–,21.95,21.4,–,063795006396
PRESIDENT AVENUE ELEMENTARY,California,22,23,–,21.09,21.17,–,062271003291
PRESIDIO CHILDREN CENTER,California,–,†,†,–,†,†,063441013488
PRESIDIO MIDDLE,California,49.65,46.5,–,23.56,25.33,–,063441005657
PRESTON ELEMENTARY,California,19.29,19.57,–,28.2,29.54,–,063237004997
PRESTWOOD ELEMENTARY,California,19,21.47,–,24.42,22.82,–,063720006302
PREUSS SCHOOL UCSD,California,37.19,36.46,–,22.21,22.41,–,063432008303
PRICE (ADELAIDE) ELEMENTARY,California,29.54,33.56,–,25.42,26.85,–,060261000163
PRICE CHARTER MIDDLE,California,43.5,42.83,–,24.64,24.59,–,060714000654
PRICE ELEMENTARY,California,32,31.5,–,26.13,26.22,–,061146001271
PRICE INTERMEDIATE,California,21.25,22.8,–,22.45,21.45,–,060004507093
PRIDE ACADEMY AT PROSPECT AVENUE,California,24.23,22.73,–,23.07,23.23,–,063588006143
PRIDE CONTINUATION,California,2.83,3.83,–,24.38,9.92,–,062181012338
PRIMARY ACADEMY FOR SUCCESS,California,13,12,–,22.62,21.83,–,062271008029
PRIMARY CHARTER,California,15,16,–,21.73,21.13,–,060004711425
PRIMARY YEARS ACADEMY,California,6.53,5.83,–,34.61,34.65,–,063801012698
PRINCETON ELEMENTARY,California,4.5,4.5,–,18.67,22,–,063162004901
PRINCETON ELEMENTARY COMMUNITY DAY,California,–,–,–,–,–,–,063162010497
PRINCETON HIGH COMMUNITY DAY,California,–,–,–,–,–,–,063162010496
PRINCETON JUNIOR-SENIOR HIGH,California,9,9,–,13.11,12,–,063162004902
PRINCETON STREET ELEMENTARY,California,32.5,30,–,20.31,24.53,–,061089002034
PRISK ELEMENTARY,California,24,24.4,–,25.79,25.04,–,062250002752
PROCTOR ELEMENTARY,California,22.48,24.86,–,23.27,20.15,–,060780000749
PROCTOR TERRACE ELEMENTARY,California,23.8,22.25,–,19.08,20.54,–,063581006129
PROGRESSIVE ACADEMY,California,†,†,–,†,†,–,062706008759
PROMENADE ELEMENTARY,California,21,20,–,27.71,27.7,–,060243009299
PROMISE CHARTER,California,†,†,–,†,†,–,063432010638
PROSPECT EDUCATION CENTER,California,6,7,–,18.33,21.29,–,060006410704
PROSPECT ELEMENTARY,California,16,16.45,–,26.44,25.11,–,062865004447
PROSPECT HIGH,California,56.45,57.35,–,22.76,22.62,–,060723000673
PROSPECT HIGH (CONTINUATION),California,2,2,–,25.5,23,–,062637010197
PROSPECT HIGH (CONTINUATION),California,7.86,9.06,–,15.78,16.89,–,062913004497
PROSPECTS HIGH (ALTERNATIVE),California,27.89,31.14,–,19.68,14.8,–,060285009517
PROVIDENCE,California,10,13,–,6.8,8,–,069104709258
PROVIDENCIA ELEMENTARY,California,16,15.5,–,24.63,25.94,–,060645000577
PROVISIONAL ACCELERATED LEARNING ACADEMY,California,7.8,–,–,36.03,–,–,063417010364
PRUNEDALE ELEMENTARY,California,23,22.6,–,28.48,28.23,–,062759004147
PUBLIC SAFETY ACADEMY,California,15.15,13.4,–,25.15,29.78,–,063417011108
PUBLIC SAFETY ACADEMY,California,14,†,†,27.57,†,†,061336013081
PUBLIC SERVICE COMMUNITY AT DIEGO RIVERA LEARNING,California,15.22,19.31,†,27.99,15.38,†,062271012971
PUC CA ACADEMY FOR LIBERAL STUDIES EARLY COLLEGE H,California,11.8,17,–,18.98,17.24,–,062271010890
PUC CALIFORNIA ACADEMY FOR LIBERAL STUDIES,California,17,18,–,18.53,17.56,–,062271008511
PUC COMMUNITY CHARTER EARLY COLLEGE HIGH,California,25.2,25.2,–,17.74,17.78,–,062271010892
PUC COMMUNITY CHARTER MIDDLE,California,16,16,–,21.75,21.56,–,062271008027
PUC EARLY COLLEGE ACADEMY FOR LEADERS AND SCHOLARS,California,16.44,12.2,†,18.92,19.43,†,062271012869
PUC EXCEL CHARTER ACADEMY,California,16.5,16.2,–,20.73,20.68,–,062271011657
PUC LAKEVIEW CHARTER ACADEMY,California,15,16,–,23,21.69,–,062271010837
PUC LAKEVIEW CHARTER HIGH,California,18,13,–,18.06,13.46,–,062271012816
PUC MILAGRO CHARTER,California,12,12,–,23.92,23.75,–,062271010835
PUC NUEVA ESPERANZA CHARTER ACADEMY,California,14,14,–,21.71,23.5,–,062271012476
PUC SANTA ROSA CHARTER ACADEMY,California,10,9.1,–,21,31.32,–,062271012537
PUC TRIUMPH ACADEMY,California,15.83,15,–,21.79,22.53,–,062271011656
PUC TRIUMPH CHARTER HIGH,California,14,12,–,12.29,14.42,–,062271012812
PUEBLO,California,9.5,36,–,16.95,21.31,–,063132005910
PUEBLO DE LOS ANGELES CONTINUATION,California,3.5,3.01,–,26.29,27.57,–,062271003292
PUEBLO VISTA ELEMENTARY,California,8.2,13,–,27.2,19.15,–,062664004027
PUENTE CHARTER,California,7,7,–,16.43,16.14,–,062271010525
PUENTE HILLS HIGH,California,18.5,18.5,–,8.86,7.14,–,061632509143
PUESTA DEL SOL ELEMENTARY,California,14,14,–,30.5,30.86,–,064104010133
PULLIAM ELEMENTARY,California,22.08,26.03,–,29.62,25.09,–,063801006429
PURCHE AVENUE ELEMENTARY,California,23.5,25,–,22.3,21.88,–,062271003293
PYLE ELEMENTARY,California,25,25,–,28.56,27.84,–,061455001759
QUAIL GLEN ELEMENTARY,California,23.65,25.9,–,25.79,23.51,–,061149003503
QUAIL LAKE ENVIRONMENTAL CHARTER,California,25.06,25.06,–,23.42,23.5,–,063525008474
QUAIL RUN ELEMENTARY,California,47.2,45.1,–,22.03,22.06,–,063513010760
QUAIL SUMMIT ELEMENTARY,California,23,23.13,–,27.09,26.76,–,064128009205
QUAIL VALLEY ELEMENTARY,California,28,28.06,–,27.82,28.08,–,062958007528
QUAIL VALLEY ELEMENTARY,California,21,24,–,26.62,23.5,–,062454012252
QUAIL VALLEY MIDDLE,California,40.01,37,–,24.82,27.05,–,063697005084
QUAILWOOD ELEMENTARY,California,16.65,17.98,–,21.62,20.36,–,061470007722
QUARTZ HILL ELEMENTARY,California,29,35,–,28.86,28.09,–,064212006892
QUARTZ HILL HIGH,California,120.6,121.1,–,26.52,25.98,–,060282000206
QUEEN ANNE PLACE ELEMENTARY,California,16,16,–,22.75,22.25,–,062271003294
QUEST ACADEMY,California,2,2,–,11,8,–,062025012168
QUEST ACADEMY COMMUNITY DAY,California,1,1,–,20,22,–,062532012488
QUIMBY OAK MIDDLE,California,39,38.5,–,26.59,26.16,–,061314001499
QUINCY ELEMENTARY,California,16.17,–,–,22.26,–,–,063117004826
QUINCY JONES ELEMENTARY,California,15,14,–,23.87,23.57,–,062271012667
QUINCY JUNIOR/SENIOR HIGH,California,20.23,–,–,16.71,–,–,063117004827
R. D. WHITE ELEMENTARY,California,34,33,–,26.24,25.61,–,061524001949
R. F. HAZARD ELEMENTARY,California,25,26,–,26.12,25.46,–,061488001848
R. I. MEYERHOLZ ELEMENTARY,California,30.5,30.78,–,24.98,24.11,–,061029001141
R. J. NEUTRA,California,26,25,–,20.12,21.44,–,060798000767
R. K. LLOYDE HIGH,California,12.9,14.4,–,26.59,–,–,060792000760
R. L. STEVENSON ELEMENTARY,California,20,19.5,–,28.1,26.92,–,060645000579
R. M. MIANO ELEMENTARY,California,33,33,–,29.61,30,–,062274003483
R. O. HARDIN ELEMENTARY,California,29,28.86,–,27.76,26.54,–,061734002180
R. PAUL KREY ELEMENTARY,California,39,39,–,23.92,23.69,–,060591010474
R. REX PARRIS HIGH,California,19.5,19.4,–,22.87,24.12,–,060282010514
R. ROGER ROWE ELEMENTARY,California,28.6,29.6,–,17.13,17.26,–,063174004910
R. ROGER ROWE MIDDLE,California,15.75,15.4,–,11.43,10.58,–,063174004911
R.A.A.M.P. CHARTER ACADEMY,California,4.1,6.1,–,33.66,25.41,–,060285012407
RACHEL CARSON ELEMENTARY,California,19.06,18.5,–,22.14,23.41,–,063459005706
RADCLIFF ELEMENTARY,California,19,20,–,28.63,25.8,–,062949011460
RAFER JOHNSON CHILDRENS CENTER,California,–,–,–,–,–,–,060363000316
RAFER JOHNSON JUNIOR HIGH,California,22.17,22.89,–,22.91,20.88,–,061980009558
RAFFAELLO PALLA ELEMENTARY,California,33,32,–,28.52,29.13,–,061605002035
RAI ONLINE CHARTER,California,6.9,7.5,–,25.07,20.8,–,064071011398
RAIL RANCH ELEMENTARY,California,23.6,29.6,–,29.66,25.95,–,060002909511
RAIL ROAD FLAT ELEMENTARY,California,3.22,2.82,–,19.57,26.95,–,060687000629
RAILROAD CANYON ELEMENTARY,California,24.8,25.8,–,23.95,22.6,–,060002709497
RAILWAY ELEMENTARY,California,32,32,–,25.66,24.53,–,063018011717
RAINBOW RIDGE ELEMENTARY,California,31,29,–,25.71,26.28,–,069113510287
RAINBOW SPRINGS,California,–,0.25,†,–,80,†,062580012835
RAINCROSS HIGH (CONTINUATION),California,9.1,8.3,–,19.01,23.49,–,063315003613
RAISIN CITY ELEMENTARY,California,16,15.25,–,22,21.97,–,063168004904
RALPH A. GATES ELEMENTARY,California,35.54,32.32,–,27.1,28.65,–,063386005298
RALPH BUNCHE ELEMENTARY,California,17.5,17,–,27.2,25.12,–,060962000970
RALPH DUNLAP ELEMENTARY,California,23,22.6,–,28,25.66,–,062871004461
RALPH E. HAWES ELEMENTARY,California,28,27,–,25.54,26.63,–,061803002218
RALPH EMERSON ELEMENTARY,California,21.5,22,–,28.09,27.09,–,060645000567
RALPH J. BUNCHE HIGH,California,8.01,9.01,–,18.1,22.42,–,062805012325
RALPH RICHARDSON CENTER,California,11.01,12.51,–,6.54,6.63,–,063462005821
RALPH WALDO EMERSON JUNIOR HIGH,California,22.65,22.05,–,17.84,18.37,–,061062001177
RALPH WALDO EMERSON MIDDLE,California,28,32,–,23.04,25.59,–,062271002987
RALSTON INTERMEDIATE,California,47.82,42.82,–,22.23,23.42,–,060453000419
RAMBLEWOOD ELEMENTARY,California,17,16,–,25.18,26.31,–,061437011452
RAMON ALTERNATIVE CENTER,California,2,4.95,–,28,10.91,–,062955008562
RAMON C. CORTINES SCHOOL OF VISUAL AND PERFORMING,California,61.84,59.55,–,25.86,25.59,–,062271012439
RAMON GARZA ELEMENTARY,California,43.27,43.27,–,22.6,22.07,–,060363009712
RAMON S. TAFOYA ELEMENTARY,California,33.5,31.05,–,24.81,26.6,–,064308008435
RAMONA,California,31,34,–,26.06,22.65,–,061668002096
RAMONA COMMUNITY,California,18.77,21.95,–,27.38,26.51,–,063171008945
RAMONA ELEMENTARY,California,16,21.47,–,31.63,23.52,–,063171004907
RAMONA ELEMENTARY,California,28.25,31.25,–,25.49,23.55,–,061692002157
RAMONA ELEMENTARY,California,29.2,30.46,–,27.12,24.43,–,062847004410
RAMONA ELEMENTARY,California,23,24,–,30.13,29.71,–,060444000404
RAMONA ELEMENTARY,California,34.93,37.84,–,24.96,23.81,–,060015310943
RAMONA ELEMENTARY,California,32.5,33,–,22.65,22.12,–,062271003295
RAMONA ELEMENTARY,California,28,27,–,27.64,27.85,–,062580011027
RAMONA ELEMENTARY,California,28,27.5,–,20.57,20.91,–,062922008665
RAMONA HEAD START/STATE PRESCHOOL,California,–,†,†,–,†,†,062769013602
RAMONA HIGH,California,82,83.9,–,26.21,26.11,–,063315005157
RAMONA HIGH,California,65.3,69.4,–,26.52,26.76,–,063171004908
RAMONA JUNIOR HIGH,California,28.25,30.4,–,23.82,24.34,–,060846000846
RAMONA MIDDLE,California,49.2,49,–,27.2,27.41,–,060561000513
RAMONA OPPORTUNITY HIGH,California,9.5,8.34,–,10.11,14.03,–,062271003296
RAMONA-ALESSANDRO ELEMENTARY,California,23,26,–,30.48,26.38,–,063417005379
RANCH HILLS ELEMENTARY,California,20,19.5,–,26,26.26,–,063132010001
RANCH VIEW ELEMENTARY,California,23,23,–,28.96,28.83,–,062622010302
RANCHERIA CONTINUATION,California,–,–,–,–,–,–,060273000200
RANCHERO MIDDLE,California,45.01,42,–,21.91,25.17,–,060001409676
RANCHITO AVENUE ELEMENTARY,California,23,22,–,23.78,24.32,–,062271003297
RANCHO ALAMITOS HIGH,California,74.36,75.14,–,26.18,26.51,–,061488001874
RANCHO BERNARDO HIGH,California,73.9,76.42,–,30.47,29.67,–,063153010004
RANCHO BUENA VISTA HIGH,California,108,114.55,–,24.06,24.31,–,064119009203
RANCHO CANADA ELEMENTARY,California,26.1,26.8,–,26.78,27.09,–,063386005311
RANCHO CORDOVA ELEMENTARY,California,17.7,17.7,–,22.66,22.94,–,061389001578
RANCHO COTATE HIGH,California,67.7,61.05,–,22.29,24.41,–,060994001081
RANCHO CUCAMONGA HIGH,California,117.95,107.68,–,29.11,30.14,–,060816001122
RANCHO CUCAMONGA MIDDLE,California,38.5,37.5,–,21.35,23.71,–,061630001112
RANCHO DE LA NACION,California,22.5,23,–,22.98,21.74,–,062667009590
RANCHO DEL MAR HIGH (CONTINUATION),California,4.6,4.85,–,16.52,16.08,–,062970008173
RANCHO DEL REY MIDDLE,California,63.61,59.8,–,26.9,26.47,–,063864007348
RANCHO DOMINGUEZ PREPARATORY,California,49.84,48.51,†,24.74,22.76,†,062271012898
RANCHO ELEMENTARY,California,17,16.01,–,27.65,28.92,–,062025002442
RANCHO ELEMENTARY,California,24.7,24.7,–,20.65,18.95,–,062772004194
RANCHO ELEMENTARY,California,19.5,22.5,–,27.18,25.07,–,060002809503
RANCHO LAS POSITAS ELEMENTARY,California,24,23,–,21.67,22.48,–,062211002632
RANCHO LEARNING CENTER (ALTERNATIVE),California,3.1,2.6,–,18.06,18.08,–,060297009302
RANCHO MEDANOS JUNIOR HIGH,California,45.36,55.59,–,18.5,21.14,–,063060004743
RANCHO MILPITAS MIDDLE,California,32.4,31.6,–,23.24,23.04,–,062450003670
RANCHO MINERVA MIDDLE,California,43.2,42.17,–,21.76,21.94,–,064119006819
RANCHO MIRAGE ELEMENTARY,California,17,17,–,26.47,27.47,–,062955004570
RANCHO MIRAGE HIGH,California,–,†,†,–,†,†,062955013149
RANCHO PICO JUNIOR HIGH,California,41,41.5,–,24.93,24.34,–,064251010913
RANCHO ROMERO ELEMENTARY,California,24.01,23.08,–,22.12,23.18,–,063513005956
RANCHO ROSAL ELEMENTARY,California,28.4,28.61,–,22.29,22.54,–,063099011831
RANCHO SAN DIEGO ELEMENTARY,California,23,22,–,24.78,24.91,–,060681008802
RANCHO SAN JOAQUIN MIDDLE,California,29.2,28.3,–,29.73,30.04,–,068450007062
RANCHO SAN JUSTO,California,23.05,24.05,–,23.38,24.91,–,061734002181
RANCHO SANTA GERTRUDES ELEMENTARY,California,16,19,–,28.75,25,–,062289003502
RANCHO SANTA MARGARITA INTERMEDIATE,California,55.01,55.6,–,27.54,27.99,–,063386002404
RANCHO TEHAMA ELEMENTARY,California,4.1,3.2,–,20,19.69,–,060978004178
RANCHO VERDE ELEMENTARY,California,29,29,–,26,25.21,–,060001709101
RANCHO VERDE HIGH,California,118.11,119.36,–,27.74,27.09,–,069113510283
RANCHO VIEJO MIDDLE,California,47,48.4,–,27.13,27.64,–,061692012275
RANCHO VISTA ELEMENTARY,California,17,18,–,24.94,24.06,–,062970004619
RANCHO VISTA ELEMENTARY,California,21,30,–,28.57,26.13,–,064212009655
RANCHO VISTA HIGH,California,14.62,13.44,–,15.6,14.58,–,060002809500
RANCHO-STARBUCK INTERMEDIATE,California,26.1,26.2,–,29.31,27.67,–,062301003512
RANCHOS MIDDLE,California,12.01,11.84,–,24.9,26.69,–,060006810543
RAND ELEMENTARY,California,1,1,–,10,8,–,063680006240
RANDALL PEPPER ELEMENTARY,California,25.67,26.83,–,28.55,27.88,–,061392001600
RARE EARTH HIGH (CONTINUATION),California,2,3.5,–,36,20,–,063762006372
RAY WILTSEY MIDDLE,California,43.11,36.67,–,17.98,19.91,–,062847004400
RAYMOND A. VILLA FUNDAMENTAL INTERMEDIATE,California,41.83,47.86,–,33.25,29.23,–,063531007596
RAYMOND AVENUE ELEMENTARY,California,22,23,–,23,24.26,–,062271003298
RAYMOND CASE ELEMENTARY,California,33,33,–,24.09,24.91,–,061233008572
RAYMOND CREE MIDDLE,California,38.5,37.5,–,25.74,25.95,–,062955004564
RAYMOND ELEMENTARY,California,19,18,–,25.58,26,–,061473001802
RAYMOND GRANITE HIGH,California,1,1,–,2,1,–,060016009210
RAYMOND J. FISHER MIDDLE,California,48.04,50.68,–,23.81,21.07,–,062283003495
RAYMOND TEMPLE ELEMENTARY,California,20,21,–,25.45,23.24,–,060807000781
RAYMOND-KNOWLES COMMUNITY DAY,California,–,1,–,–,1,–,063192010540
RAYMOND-KNOWLES ELEMENTARY,California,5,4,–,16.4,17.75,–,063192004918
REACH,California,6.02,6,–,21.93,10.17,–,063618012469
REACH ACADEMY,California,13.01,12.01,–,26.06,25.98,–,062805011556
REACH LEADERSHIP ACADEMY,California,5,†,†,22.2,†,†,063315013116
READY SPRINGS ELEMENTARY,California,8.75,9,–,22.74,22.56,–,063195004919
READY SPRINGS SPECIAL EDUCATION PRESCHOOL,California,–,†,†,–,†,†,063195013364
REAGAN ELEMENTARY,California,16,17,†,24,25.29,†,062187012687
REAGAN ELEMENTARY,California,19,20,–,27.89,26,–,060903011587
REALM CHARTER HIGH,California,8,4.5,†,24.13,18,†,060474012715
REALM CHARTER MIDDLE,California,9.5,5,†,21.26,18.8,†,060474012792
REBOUND,California,1,1,–,9,11,–,063201007465
RECHE CANYON ELEMENTARY,California,31,29,–,21.94,22.48,–,060939009352
RED BANK ELEMENTARY,California,25,27,–,30.16,27.07,–,060903009762
RED BLUFF COMMUNITY DAY,California,1,1,–,8,4,–,063198007464
RED BLUFF COMMUNITY DAY K-5,California,1,1,–,6,3,–,063198012681
RED BLUFF HIGH,California,69.06,72.81,–,20.13,19.75,–,063201004923
