School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2012-13,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2012-13,Agency ID - NCES Assigned [Public School] Latest available year,County Name [Public School] 2012-13,County Number [Public School] 2012-13,Race/Ethnicity Category [Public School] 2012-13,ANSI/FIPS State Code [Public School] Latest available year,Years School Reported Data [Public School] Latest available year,Years School Did Not Report Data [Public School] Latest available year,Location City [Public School] 2014-15,Location State Abbr [Public School] 2014-15,Location ZIP [Public School] 2014-15,Location Address 1 [Public School] 2014-15,School Type [Public School] 2012-13,Agency Type [District] 2012-13,Start of Year Status [Public School] 2012-13,Charter School [Public School] 2012-13
MENDOCINO SUNRISE HIGH,California,CA ,MENDOCINO SUNRISE HIGH,062448003658,MENDOCINO UNF,0624480,MENDOCINO COUNTY,06045,Reported 7 categories,06,1986-2014,,MENDOCINO,CA ,95460,10700 FORD ST.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MENDOTA COMMUNITY DAY,California,CA ,MENDOTA COMMUNITY DAY,060002207970,MENDOTA UNF,0600022,FRESNO COUNTY,06019,Reported 7 categories,06,1999-2014,1986-1998,MENDOTA,CA ,93640,241 SMOOT AVE.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MENDOTA CONTINUATION HIGH,California,CA ,MENDOTA CONTINUATION HIGH,060002200374,MENDOTA UNF,0600022,FRESNO COUNTY,06019,Reported 7 categories,06,1992-2014,1986-1991,MENDOTA,CA ,93640,211 SMOOT AVE.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MENDOTA HIGH,California,CA ,MENDOTA HIGH,060002200395,MENDOTA UNF,0600022,FRESNO COUNTY,06019,Reported 7 categories,06,1992-2014,1986-1991,MENDOTA,CA ,93640,1200 BELMONT AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MENDOTA JUNIOR HIGH,California,CA ,MENDOTA JUNIOR HIGH,060002209293,MENDOTA UNF,0600022,FRESNO COUNTY,06019,Reported 7 categories,06,1988-2014,1986-1987,MENDOTA,CA ,93640,1258 E. BELMONT AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MENIFEE VALLEY MIDDLE,California,CA ,MENIFEE VALLEY MIDDLE,062454009402,MENIFEE UNION ELEM,0624540,RIVERSIDE COUNTY,06065,Reported 7 categories,06,1988-2014,1986-1987,MENIFEE,CA ,92584,26255 GARBANI RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MENLO AVENUE ELEMENTARY,California,CA ,MENLO AVENUE ELEMENTARY,062271003180,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LOS ANGELES,CA ,90037,4156 MENLO AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MENLO-ATHERTON HIGH,California,CA ,MENLO-ATHERTON HIGH,063639006195,SEQUOIA UNION HIGH,0636390,SAN MATEO COUNTY,06081,Reported 7 categories,06,1986-2014,,ATHERTON,CA ,94025,555 MIDDLEFIELD RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MENTONE ELEMENTARY,California,CA ,MENTONE ELEMENTARY,063207004942,REDLANDS UNF,0632070,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,1986-2014,,MENTONE,CA ,92359,1320 CRAFTON AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MERCED CITY SCHOOL DISTRICT COMMUNITY DAY,California,CA ,MERCED CITY SCHOOL DISTRICT COMMUNITY DAY,062460008740,MERCED CITY ELEM,0624600,MERCED COUNTY,06047,Reported 7 categories,06,2001-2014,1986-2000,MERCED,CA ,95340,1850 WARDROBE AVE.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MERCED COUNTY JUVENILE HALL/COMMUNITY,California,CA ,MERCED COUNTY JUVENILE HALL/COMMUNITY,069102009233,MERCED COUNTY OFFICE OF EDUCATION,0691020,MERCED COUNTY,06047,Reported 7 categories,06,1987-2014,1986,MERCED,CA ,95340,2840 W. SANDY MUSH RD.,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
MERCED COUNTY ROP,California,CA ,MERCED COUNTY ROP,060011910964,MERCED COUNTY ROP,0600119,MERCED COUNTY,06047,Reported 7 categories,06,2004-2014,1986-2003,MERCED,CA ,95341,632 W. 13TH ST.,3-Vocational school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
MERCED COUNTY SPECIAL EDUCATION,California,CA ,MERCED COUNTY SPECIAL EDUCATION,069102007147,MERCED COUNTY OFFICE OF EDUCATION,0691020,MERCED COUNTY,06047,Reported 7 categories,06,1986-2014,,MERCED,CA ,95341,632 W. 13TH ST.,2-Special education school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
MERCED ELEMENTARY,California,CA ,MERCED ELEMENTARY,064200006880,WEST COVINA UNF,0642000,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,WEST COVINA,CA ,91791,1545 E. MERCED AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MERCED HIGH,California,CA ,MERCED HIGH,062466003702,MERCED UNION HIGH,0624660,MERCED COUNTY,06047,Reported 7 categories,06,1986-2014,,MERCED,CA ,95348,205 W. OLIVE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MERCED SCHOLARS CHARTER,California,CA ,MERCED SCHOLARS CHARTER,069102010960,MERCED COUNTY OFFICE OF EDUCATION,0691020,MERCED COUNTY,06047,Reported 7 categories,06,2004-2014,1986-2003,MERCED,CA ,95341,1850 WARDROBE AVE. BLDG. H,1-Regular school,4-Regional Education Service Agency (RESA),1-Currently operational ,1-Yes
MERIDIAN ELEMENTARY,California,CA ,MERIDIAN ELEMENTARY,062469003704,MERIDIAN ELEM,0624690,SUTTER COUNTY,06101,Reported 7 categories,06,1986-2014,,MERIDIAN,CA ,95957,15898 CENTRAL ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MERIDIAN ELEMENTARY,California,CA ,MERIDIAN ELEMENTARY,060681000621,CAJON VALLEY UNION,0606810,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,EL CAJON,CA ,92019,651 S. THIRD ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MERLE L. FULLER ELEMENTARY,California,CA ,MERLE L. FULLER ELEMENTARY,060852000849,CHOWCHILLA ELEM,0608520,MADERA COUNTY,06039,Reported 7 categories,06,1986-2014,,CHOWCHILLA,CA ,93610,1101 MONTEREY AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MERLINDA ELEMENTARY,California,CA ,MERLINDA ELEMENTARY,064200006881,WEST COVINA UNF,0642000,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,WEST COVINA,CA ,91790,1120 S. VALINDA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MERQUIN ELEMENTARY,California,CA ,MERQUIN ELEMENTARY,061722002178,HILMAR UNF,0617220,MERCED COUNTY,06047,Reported 7 categories,06,1986-2014,,STEVINSON,CA ,95374,20316 W. THIRD AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MERRILL F. WEST HIGH,California,CA ,MERRILL F. WEST HIGH,060004707371,TRACY JOINT UNF,0600047,SAN JOAQUIN COUNTY,06077,Reported 7 categories,06,1997-2014,1986-1996,TRACY,CA ,95376,1775 W. LOWELL AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MERRITT TRACE ELEMENTARY,California,CA ,MERRITT TRACE ELEMENTARY,063459005741,SAN JOSE UNF,0634590,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,SAN JOSE,CA ,95126,651 DANA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MERTON E. HILL ELEMENTARY,California,CA ,MERTON E. HILL ELEMENTARY,061488001851,GARDEN GROVE UNF,0614880,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,GARDEN GROVE,CA ,92844,9681 11TH ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MERWIN ELEMENTARY,California,CA ,MERWIN ELEMENTARY,061005001100,COVINA-VALLEY UNF,0610050,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,COVINA,CA ,91722,16125 CYPRESS,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MESA ELEMENTARY,California,CA ,MESA ELEMENTARY,061005001101,COVINA-VALLEY UNF,0610050,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,WEST COVINA,CA ,91723,409 S. BARRANCA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MESA ELEMENTARY,California,CA ,MESA ELEMENTARY,062472003705,MESA UNION ELEM,0624720,VENTURA COUNTY,06111,Reported 7 categories,06,1986-2014,,SOMIS,CA ,93066,3901 N. MESA SCH RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MESA GRANDE ELEMENTARY,California,CA ,MESA GRANDE ELEMENTARY,060001409078,HESPERIA UNF,0600014,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,1987-2014,1986,HESPERIA,CA ,92345,9172 THIRD ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MESA HIGH,California,CA ,MESA HIGH,063583002849,SANTA ROSA HIGH,0635830,SONOMA COUNTY,06097,Reported 7 categories,06,1993-2014,1986-1992,SANTA ROSA,CA ,95401,1235 MENDOCINO AVE.,4-Alternative/other school,2-Local school district that is a component of a supervisory union,1-Currently operational ,2-No
MESA LINDA MIDDLE,California,CA ,MESA LINDA MIDDLE,060171008288,ADELANTO ELEM,0601710,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,1999-2014,1986-1998,VICTORVILLE,CA ,92392,13001 MESA LINDA RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MESA MIDDLE,California,CA ,MESA MIDDLE,062308009910,LUCIA MAR UNF,0623080,SAN LUIS OBISPO COUNTY,06079,Reported 7 categories,06,1990-2014,1986-1989,ARROYO GRANDE,CA ,93420,2555 HALCYON RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MESA REGION COURT,California,CA ,MESA REGION COURT,069103012136,SAN DIEGO COUNTY OFFICE OF EDUCATION,0691030,SAN DIEGO COUNTY,06073,Reported 7 categories,06,2007-2013,1986-2006 2014,,,,,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
MESA ROBLES,California,CA ,MESA ROBLES,061632502056,HACIENDA LA PUENTE UNF,0616325,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,HACIENDA HEIGHTS,CA ,91745,16060 MESA ROBLES DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MESA VERDE ELEMENTARY,California,CA ,MESA VERDE ELEMENTARY,060006112206,RIVERBANK UNF,0600061,STANISLAUS COUNTY,06099,Reported 7 categories,06,2008-2014,1986-2007,OAKDALE,CA ,95361,4850 MESA DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MESA VERDE HIGH,California,CA ,MESA VERDE HIGH,063462005798,SAN JUAN UNF,0634620,SACRAMENTO COUNTY,06067,Reported 7 categories,06,1986-2014,,CITRUS HEIGHTS,CA ,95621,7501 CARRIAGE DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MESA VERDE MIDDLE,California,CA ,MESA VERDE MIDDLE,063153002667,POWAY UNF,0631530,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1993-2014,1986-1992,SAN DIEGO,CA ,92129,8375 ENTREKEN WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MESA VERDE MIDDLE,California,CA ,MESA VERDE MIDDLE,062569004325,MOORPARK UNF,0625690,VENTURA COUNTY,06111,Reported 7 categories,06,1994-2014,1986-1993,MOORPARK,CA ,93021,14000 PEACH HILL RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MESA VIEW ELEMENTARY,California,CA ,MESA VIEW ELEMENTARY,063339011886,ROMOLAND ELEM,0633390,RIVERSIDE COUNTY,06065,Reported 7 categories,06,2006-2014,1986-2005,ROMOLAND,CA ,92585,27227 HERITAGE LAKE DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MESA VIEW MIDDLE,California,CA ,MESA VIEW MIDDLE,064356012413,YUCAIPA-CALIMESA JOINT UNF,0643560,RIVERSIDE COUNTY,06065,Reported 7 categories,06,2008-2014,1986-2007,CALIMESA,CA ,92399,800 MUSTANG WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MESA VIEW MIDDLE,California,CA ,MESA VIEW MIDDLE,062814004340,OCEAN VIEW,0628140,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,HUNTINGTON BEACH,CA ,92647,17601 AVILLA LN.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MESQUITE CONTINUATION HIGH,California,CA ,MESQUITE CONTINUATION HIGH,063680006237,SIERRA SANDS UNF,0636800,KERN COUNTY,06029,Reported 7 categories,06,1986-2014,,RIDGECREST,CA ,93555,140 W. DRUMMOND,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MESQUITE ELEMENTARY,California,CA ,MESQUITE ELEMENTARY,062958009608,PALMDALE ELEM,0629580,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1989-2014,1986-1988,PALMDALE,CA ,93552,37622 43RD ST. E.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MESQUITE TRAILS ELEMENTARY,California,CA ,MESQUITE TRAILS ELEMENTARY,060001407295,HESPERIA UNF,0600014,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,1997-2014,1986-1996,HESPERIA,CA ,92345,13884 MESQUITE,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
METRO REGION COURT,California,CA ,METRO REGION COURT,069103012121,SAN DIEGO COUNTY OFFICE OF EDUCATION,0691030,SAN DIEGO COUNTY,06073,Reported 7 categories,06,2007-2013,1986-2006 2014,,,,,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
METROPOLITAN ARTS & TECHNOLOGY HIGH,California,CA ,METROPOLITAN ARTS & TECH HIGH,063441011409,SAN FRANCISCO UNF,0634410,SAN FRANCISCO COUNTY,06075,Reported 7 categories,06,2005-2013,1986-2004 2014,,,,,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
METROPOLITAN CONTINUATION,California,CA ,METROPOLITAN CONTINUATION,062271003181,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LOS ANGELES,CA ,90021,727 S. WILSON ST.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
METWEST HIGH,California,CA ,METWEST HIGH,062805011350,OAKLAND UNF,0628050,ALAMEDA COUNTY,06001,Reported 7 categories,06,2003-2014,1986-2002,OAKLAND,CA ,94606,1100 3RD AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MEYLER STREET ELEMENTARY,California,CA ,MEYLER STREET ELEMENTARY,062271003182,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,TORRANCE,CA ,90502,1123 W. 223RD ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MICHAEL D'ARCY ELEMENTARY,California,CA ,MICHAEL D'ARCY ELEMENTARY,060939006353,COLTON JOINT UNF,0609390,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,1996-2014,1986-1995,FONTANA,CA ,92337,11645 ELM AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MICHAEL G. WICKMAN ELEMENTARY,California,CA ,MICHAEL G. WICKMAN ELEMENTARY,060846011325,CHINO VALLEY UNF,0608460,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,2003-2014,1986-2002,CHINO HILLS,CA ,91709,16250 PINEHURST DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MICHAEL J. CASTORI ELEMENTARY,California,CA ,MICHAEL J. CASTORI ELEMENTARY,060133204154,TWIN RIVERS UNF,0601332,SACRAMENTO COUNTY,06067,Reported 7 categories,06,2008-2014,1986-2007,SACRAMENTO,CA ,95838,1801 S. AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MICHELTORENA STREET ELEMENTARY,California,CA ,MICHELTORENA STREET ELEMENTARY,062271003183,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LOS ANGELES,CA ,90026,1511 MICHELTORENA ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MID VALLEY HIGH (CONTINUATION),California,CA ,MID VALLEY HIGH (CONTINUATION),064254000117,WILLIAMS UNF,0642540,COLUSA COUNTY,06011,Reported 7 categories,06,1992-2014,1986-1991,WILLIAMS,CA ,95987,1105 D ST.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MID-CITY'S PRESCOTT SCHOOL OF ENRICHED SCIENCES,California,CA ,MID-CITY'S PRESCOTT SCHOOL OF ENRICHED SCIENCES,062271002823,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LOS ANGELES,CA ,90018,3150 W. ADAMS BLVD.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIDDLE COLLEGE HIGH,California,CA ,MIDDLE COLLEGE HIGH,063531007197,SANTA ANA UNF,0635310,ORANGE COUNTY,06059,Reported 7 categories,06,1997-2014,1986-1996,SANTA ANA,CA ,92706,1530 W. 17TH ST.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIDDLE COLLEGE HIGH,California,CA ,MIDDLE COLLEGE HIGH,063459008633,SAN JOSE UNF,0634590,SANTA CLARA COUNTY,06085,Reported 7 categories,06,2000-2014,1986-1999,SAN JOSE,CA ,95128,2101 MOORPARK AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIDDLE COLLEGE HIGH,California,CA ,MIDDLE COLLEGE HIGH,062223008616,LODI UNF,0622230,SAN JOAQUIN COUNTY,06077,Reported 7 categories,06,2000-2014,1986-1999,STOCKTON,CA ,95207,5151 PACIFIC AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIDDLE COLLEGE HIGH,California,CA ,MIDDLE COLLEGE HIGH,062271010843,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2004-2014,1986-2003,LOS ANGELES,CA ,90047,1600 W. IMPERIAL HWY BLDG. 16,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIDDLE COLLEGE HIGH,California,CA ,MIDDLE COLLEGE HIGH,063417010366,SAN BERNARDINO CITY UNF,0634170,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,2001-2014,1986-2000,SAN BERNARDINO,CA ,92410,1260 W. ESPERANZA ST.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIDDLE COLLEGE HIGH,California,CA ,MIDDLE COLLEGE HIGH,063255009622,WEST CONTRA COSTA UNF,0632550,CONTRA COSTA COUNTY,06013,Reported 7 categories,06,1989-2014,1986-1988,SAN PABLO,CA ,94806,2600 MISSION BELL DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIDDLETON PRIMARY CENTER,California,CA ,MIDDLETON PRIMARY CENTER,062271011620,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2005-2014,1986-2004,HUNTINGTON PARK,CA ,90255,2410 ZOE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIDDLETON STREET ELEMENTARY,California,CA ,MIDDLETON STREET ELEMENTARY,062271003184,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,HUNTINGTON PARK,CA ,90255,6537 MALABAR ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIDDLETOWN COMMUNITY DAY,California,CA ,MIDDLETOWN COMMUNITY DAY,062475005815,MIDDLETOWN UNF,0624750,LAKE COUNTY,06033,Reported 7 categories,06,1996-2014,1986-1995,MIDDLETOWN,CA ,95461,20932 BIG CANYON RD.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIDDLETOWN ELEMENTARY COMMUNITY DAY,California,CA ,MIDDLETOWN ELEMENTARY COMMUNITY DAY,062475007507,MIDDLETOWN UNF,0624750,LAKE COUNTY,06033,Reported 7 categories,06,1998-2014,1986-1997,MIDDLETOWN,CA ,95461,20932 BIG CANYON RD.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIDDLETOWN HIGH,California,CA ,MIDDLETOWN HIGH,062475003708,MIDDLETOWN UNF,0624750,LAKE COUNTY,06033,Reported 7 categories,06,1986-2014,,MIDDLETOWN,CA ,95461,20932 BIG CANYON RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIDDLETOWN MIDDLE,California,CA ,MIDDLETOWN MIDDLE,062475009155,MIDDLETOWN UNF,0624750,LAKE COUNTY,06033,Reported 7 categories,06,1987-2014,1986,MIDDLETOWN,CA ,95461,15846 WARDLAW ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIDLAND ELEMENTARY,California,CA ,MIDLAND ELEMENTARY,062580003866,MORENO VALLEY UNF,0625800,RIVERSIDE COUNTY,06065,Reported 7 categories,06,1986-2014,,MORENO VALLEY,CA ,92557,11440 DAVIS ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIDLAND ELEMENTARY,California,CA ,MIDLAND ELEMENTARY,063153004889,POWAY UNF,0631530,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,POWAY,CA ,92064,13910 MIDLAND RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIDROSE HIGH,California,CA ,MIDROSE HIGH,063583005455,SANTA ROSA HIGH,0635830,SONOMA COUNTY,06097,Reported 7 categories,06,1995-2014,1986-1994,SANTA ROSA,CA ,95407,599 BELLEVUE AVE.,4-Alternative/other school,2-Local school district that is a component of a supervisory union,1-Currently operational ,2-No
MIDTOWN COMMUNITY,California,CA ,MIDTOWN COMMUNITY,069104910713,YOLO COUNTY OFFICE OF EDUCATION,0691049,YOLO COUNTY,06113,Reported 7 categories,06,2002-2014,1986-2001,WOODLAND,CA ,95695,250 BUCKEYE ST.,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
MIDWAY ELEMENTARY,California,CA ,MIDWAY ELEMENTARY,062478003709,MIDWAY ELEM,0624780,KERN COUNTY,06029,Reported 7 categories,06,1986-2014,,FELLOWS,CA ,93224,259 F ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIGUEL HIDALGO ELEMENTARY,California,CA ,MIGUEL HIDALGO ELEMENTARY,060579000521,BRAWLEY ELEM,0605790,IMPERIAL COUNTY,06025,Reported 7 categories,06,1986-2014,,BRAWLEY,CA ,92227,615 S. CESAR CHAVEZ ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIGUEL HIDALGO ELEMENTARY,California,CA ,MIGUEL HIDALGO ELEMENTARY,061455008845,FRESNO UNF,0614550,FRESNO COUNTY,06019,Reported 7 categories,06,1986-2014,,FRESNO,CA ,93702,3550 E. THOMAS AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIGUEL LEONIS CONTINUATION,California,CA ,MIGUEL LEONIS CONTINUATION,062271003133,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2013,2014,,,,,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIGUELITO ELEMENTARY,California,CA ,MIGUELITO ELEMENTARY,062241008882,LOMPOC UNF,0622410,SANTA BARBARA COUNTY,06083,Reported 7 categories,06,1986-2014,,LOMPOC,CA ,93436,1600 W. OLIVE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILDRED B. JANSON ELEMENTARY,California,CA ,MILDRED B. JANSON ELEMENTARY,063357005179,ROSEMEAD ELEM,0633570,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,ROSEMEAD,CA ,91770,8628 E. MARSHALL,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILES AVENUE ELEMENTARY,California,CA ,MILES AVENUE ELEMENTARY,062271003185,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,HUNTINGTON PARK,CA ,90255,6720 MILES AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILES P. RICHMOND,California,CA ,MILES P. RICHMOND,060133207728,TWIN RIVERS UNF,0601332,SACRAMENTO COUNTY,06067,Reported 7 categories,06,2008-2014,1986-2007,NORTH HIGHLANDS,CA ,95660,4330 KEEMA AVE.,2-Special education school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILES W. CULWELL COMMUNITY DAY,California,CA ,MILES W. CULWELL COMMUNITY DAY,060912008696,COALINGA-HURON JOINT UNF,0609120,FRESNO COUNTY,06019,Reported 7 categories,06,2001-2014,1986-2000,COALINGA,CA ,93210,275 CAMBRIDGE AVE.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILESTONES COOPERATIVE CHARTER,California,CA ,MILESTONES COOPERATIVE CHARTER,061398012646,FORESTHILL UNION ELEM,0613980,PLACER COUNTY,06061,Reported 7 categories,06,2010-2013,1986-2009 2014,,,,,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
